movie_display_name,movie_production_year,movie_odid,movie_financial_summary_production_budget,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,production_date_year,movie_creative_type_display_name,movie_source_display_name,movie_production_method_display_name,movie_genre_display_name,movie_sequel,movie_running_time
Housefull,2010,137710100,10100000,1183658,17542642,2010-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,
Le Fabuleux destin d'Amélie Poulain,2001,17070100,10350000,33201661,141000000,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
In the Land of Women,2007,35540100,10500000,11052958,3087444,2007-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
The Last Days on Mars,2013,197330100,10600000,24084,237280,2013-01-01,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,98
Darkness,2002,23550100,10600000,22163442,12245764,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Horror,0,88
Kabhi Alvida Naa Kehna,2006,51280100,10750000,3275443,29300000,2006-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,
Saw V,2008,9370100,10800000,56746769,61463009,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Horror,1,
Les Intouchables,2011,164220100,10800000,13182281,471690764,2011-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,110
Jindabyne,2007,69130100,10800000,399879,2462665,2007-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,
Kinsey,2004,36860100,11000000,10214647,2786312,2004-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,118
If I Stay,2014,146900100,11000000,50474843,28400000,2014-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,106
Woman in Gold,2014,220190100,11000000,33307793,23450345,2014-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,107
The Fighter,2010,108640100,11000000,93617009,35645379,2010-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,115
Corky Romano,2001,22270100,11000000,23978402,1137701,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,86
The Secret Life of Bees,2008,14980100,11000000,37770162,2213861,2008-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,110
Vera Drake,2004,49910100,11000000,3753806,9600049,2004-01-01,Historical Fiction,Original Screenplay,Live Action,Drama,0,
The Gospel of John,2003,48900100,11000000,4068087,166268,2003-01-01,Dramatization,Based on Religious Text,Live Action,Drama,0,
Quartet,2011,144180100,11000000,18388357,37790578,2011-01-01,Contemporary Fiction,Based on Play,Live Action,Comedy,0,99
Phone Booth,2003,11960100,11000000,46566212,51270926,2003-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,
Le prénom,2012,184450100,11000000,61611,25245794,2012-01-01,Contemporary Fiction,Original Screenplay,Live Action,,0,0
A Walk to Remember,2002,13530100,11000000,41227069,4833846,2002-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,
Frailty,2002,32680100,11000000,13110448,6836832,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,
Out Cold,2001,31800100,11000000,13906394,880000,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
High School Musical 3: Senior Year,2008,4880100,11000000,90559416,183833464,2008-01-01,Contemporary Fiction,Based on TV,Live Action,Musical,1,
Inside Llewyn Davis,2012,184960100,11000000,13248209,19695038,2012-01-01,Historical Fiction,Based on Factual Book/Article,Live Action,Drama,0,104
Romance and Cigarettes,2007,66440100,11000000,551002,2680249,2007-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
Saw VI,2009,109520100,11000000,27693292,42059110,2009-01-01,Contemporary Fiction,Original Screenplay,Live Action,Horror,1,
Brooklyn,2014,220510100,11000000,38273392,21979924,2014-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,113
Jackass: Number Two,2006,6660100,11000000,72778712,12500000,2006-01-01,Factual,Based on TV,Live Action,Comedy,1,
The Guru,2003,51910100,11000000,3051221,21099329,2003-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
St. Trinian's,2007,117390100,11400000,15000,29815239,2007-01-01,Contemporary Fiction,Remake,Live Action,Comedy,0,
Running With Scissors,2006,42860100,12000000,6860000,1846701,2006-01-01,Dramatization,Based on Fiction Book/Short Story,Live Action,Comedy,0,
2046,2005,131290100,12000000,1442337,17845147,2005-01-01,Science Fiction,Original Screenplay,Live Action,Drama,0,
Heaven is for Real,2013,191180100,12000000,91386097,9533014,2013-01-01,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,100
5 Days of War,2011,163750100,12000000,17479,70314,2011-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,113
Trash,2014,217960100,12000000,17484,6535702,2014-01-01,Contemporary Fiction,Original Screenplay,Live Action,Adventure,0,113
Girl with a Pearl Earring,2003,34740100,12000000,11634362,31647190,2003-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,
Arbitrage,2011,170980100,12000000,7919574,27911139,2011-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,100
