id,raw_budget,raw_revenue
862,"$30,000,000","$361,958,736"
8844,"$50,000,000","$262,797,249"
31357,"$16,000,000","$14,400,000"
949,"$60,000,000","$107,000,000"
11860,"$58,000,000","$87,313,761"
9091,"$35,000,000","$64,350,171"
710,"$60,000,000","$352,194,034"
10858,"$50,000,000","$34,642,684"
524,"$52,000,000","$116,112,375"
4584,"$16,000,000","$92,100,000"
9273,"$30,000,000","$212,385,533"
11517,"$68,000,000","$77,224,232"
8012,"$30,250,000","$115,101,622"
9691,"$50,000,000","$83,306,268"
9909,"$23,000,000","$179,519,401"
63,"$29,000,001","$167,000,000"
9598,"$30,000,000","$254,134,910"
687,"$11,000,000","$83,088,295"
9603,"$12,000,000","$77,331,572"
9312,"$18,000,000","$51,741,822"
11861,"$10,000,000","$41,174,130"
807,"$33,000,000","$327,311,859"
10530,"$55,000,000","$346,079,773"
629,"$6,000,000","$34,449,356"
11010,"$3,000,000","$54,853,000"
17182,"$20,000,000","$53,192,700"
2054,"$23,000,000","$106,269,971"
10634,"$3,500,000","$28,215,918"
755,"$19,000,000","$33,500,000"
11859,"$50,000,000","$26,134,477"
9623,"$44,000,000","$63,054,725"
9095,"$47,000,000","$12,272,308"
9208,"$50,000,000","$150,270,147"
11062,"$40,000,000","$13,100,000"
688,"$24,000,000","$182,016,617"
197,"$72,000,000","$210,409,945"
33542,"$7,500,000","$39,748,899"
11066,"$40,000,000","$61,000,000"
27793,"$17,000,000","$1,331,408"
9101,"$31,000,000","$37,553,752"
9302,"$60,000,000","$100,688,705"
11000,"$31,000,000","$185,260,553"
9737,"$19,000,000","$141,407,024"
568,"$52,000,000","$355,237,933"
414,"$100,000,000","$336,531,112"
1873,"$23,000,000","$6,700,000"
8839,"$50,000,000","$287,928,194"
10329,"$50,000,000","$152,022,101"
8963,"$53,000,000","$157,400,000"
1572,"$90,000,000","$366,101,666"
6520,"$55,000,000","$127,600,435"
9886,"$25,000,000","$52,400,000"
9482,"$70,000,000","$78,800,000"
9344,"$1,500,000","$20,000,000"
9070,"$15,000,000","$66,050,379"
1642,"$22,000,000","$59,900,000"
10802,"$45,000,000","$37,702,961"
9348,"$35,000,000","$113,374,103"
3512,"$60,000,000","$104,324,083"
9804,"$175,000,000","$264,218,220"
76,"$2,500,000","$22,600,000"
1909,"$25,000,000","$68,792,531"
8984,"$55,000,000","$214,015,089"
8467,"$16,000,000","$247,275,374"
14275,"$700,000","$11,830,611"
628,"$60,000,000","$223,664,608"
6280,"$60,000,000","$108,431,355"
11,"$11,000,000","$775,398,007"
4476,"$30,000,000","$160,638,883"
28313,"$17,000,000","$8,500,000"
3036,"$45,000,000","$112,006,296"
1945,"$31,000,000","$106,683,817"
6950,"$50,000,000","$189,859,560"
680,"$8,000,000","$213,928,762"
161495,"$22,000,000","$300,000"
2636,"$45,000,000","$113,000,000"
2164,"$55,000,000","$125,000,000"
11395,"$22,000,000","$45,000,000"
