id,budget,revenue
353326,10000000,12300000
303858,27000000,92766958
326423,20000000,55030051
127380,200000000,1027188617
333669,20000000,14397593
153518,73000000,345637824
302401,40000000,21371709
290250,50000000,36261763
258509,90000000,234758158
332567,17000000,68850939
241259,170000000,287115105
267935,140000000,183345819
223702,19000000,36200000
291805,90000000,335216079
339397,30000000,34314223
347031,3000000,4121261
308531,135000000,236573787
259693,40000000,315816419
43074,144000000,193786077
302699,50000000,216972543
398535,5900000,13000000
324668,120000000,207989474
258489,180000000,312750024
316727,10000000,96231953
316023,33000000,56148540
278154,105000000,292791062
345911,4900000,89999818
294272,65000000,142313848
262260,354000,3001000
328387,20000000,33003464
363676,60000000,238459249
325789,28000000,14805854
376659,20000000,69241293
338766,12000000,26749794
300669,9900000,153219180
403119,5500000,43609741
32091,20000000,5918742
278924,40000000,110312958
333484,90000000,160400289
376867,1500000,55561162
213681,25000000,17281714
313297,60000000,69491144
95610,35000000,173359300
283552,20000000,25905264
377264,8000000,7315248
317557,15000000,10367161
296524,110000000,118188581
283366,110000000,285540870
346685,45000000,172023948
369883,8500000,20611649
302946,44000000,155160045
391629,5200000,18000000
317930,3000000,7353544
134908,3000000,15000
324786,40000000,163332647
293767,40000000,24321524
258230,43000000,30235517
329865,47000000,174801381
332210,70000000,179825173
313369,30000000,426911465
369885,85000000,109090476
207932,75000000,219304189
331313,40000000,28597222
335796,9000000,79496033
136799,125000000,329482205
286567,10000000,3771397
343611,60000000,161478779
334541,8500000,41055868
334543,12000000,32132825
415214,30200000,167029900
338964,26000000,17725711
340402,17000000,42246220
345920,36000000,76168721
347026,14000000,13819139
329981,10000000,6876720
277834,150000000,634765284
376866,9000000,11692444
384682,45000000,82329052
365942,30000000,14793385
330459,200000000,1055957159
259695,108000000,181963
381288,9000000,275035278
346672,35000000,42106211
274870,110000000,270657489
381284,25000000,230583139
393457,24000000,64098857
342737,7000000,5757620
311324,150000000,329657935
310307,25000000,20661088
356305,38000000,21162122
335797,75000000,431899145
121856,125000000,203017998
381289,22000000,165142855
195590,21500000,2531521
388399,45000000,30039081
334524,20000000,7227038
342473,30000000,105831614
345922,22000000,39637914
262841,125000000,64361194
324542,30000000,17413596
340837,40000000,26559557
47971,85000000,345147764
292280,7400000,23239232
395982,104000,94100
324849,80000000,310830880
14564,25000000,83018523
324552,40000000,158216655
419430,5000000,252195162
263115,97000000,607548168
293167,185000000,146125472
180863,18000000,33351909
397837,5000000,12498674
416477,5000000,44328624
274857,175000000,140766887
241258,5000000,6337659
321612,160000000,1262227838
380124,20000000,74158913
295693,125000000,406932625
173897,40000000,313000000
315837,110000000,130246659
429698,3800000,213104
30680,750000,6100000
341174,55000000,374275967
431093,2000000,6402104
73981,300000,2074000
340676,6000000,269920
345938,20000000,43505116
126889,97000000,213552039
126919,943000,1195000
19766,12000000,56375000
353070,25000000,52488503
137116,60000000,197183546
400928,7000000,40193907
339846,69000000,176928652
282035,125000000,376997670
337339,250000000,1238745495
61541,578000,721000
260514,175000000,309129252
350312,40000000,297817436
399019,10500000,15871398
339403,34000000,175089495
397422,20000000,44436928
324852,80000000,949611336
333667,60000000,20519503
281338,150000000,346613018
293768,21000000,24527158
4820,3480000,5270000
339964,177200000,88902880
341013,30000000,30454630
374720,100000000,524848479
432602,1000000,2446608
335988,217000000,551681781
248747,5000000,38067427
345914,40000000,33281529
353491,60000000,71873047
862,30000000,361958736
8844,50000000,262797249
31357,16000000,14400000
949,60000000,107000000
11860,58000000,87313761
9091,35000000,64350171
710,60000000,352194034
10858,50000000,34642684
524,52000000,116112375
4584,16000000,92100000
9273,30000000,212385533
11517,68000000,77224232
8012,30250000,115101622
9691,50000000,83306268
9909,23000000,179519401
63,29000001,167000000
9598,30000000,254134910
687,11000000,83088295
9603,12000000,77331572
9312,18000000,51741822
11861,10000000,41174130
807,33000000,327311859
10530,55000000,346079773
629,6000000,34449356
11010,3000000,54853000
17182,20000000,53192700
2054,23000000,106269971
10634,3500000,28215918
755,19000000,33500000
11859,50000000,26134477
9623,44000000,63054725
9095,47000000,12272308
9208,50000000,150270147
11062,40000000,13100000
688,24000000,182016617
197,72000000,210409945
33542,7500000,39748899
11066,40000000,61000000
27793,17000000,1331408
9101,31000000,37553752
9302,60000000,100688705
11000,31000000,185260553
9737,19000000,141407024
568,52000000,355237933
414,100000000,336531112
1873,23000000,6700000
8839,50000000,287928194
10329,50000000,152022101
8963,53000000,157400000
1572,90000000,366101666
6520,55000000,127600435
9886,25000000,52400000
9482,70000000,78800000
9344,1500000,20000000
9070,15000000,66050379
1642,22000000,59900000
10802,45000000,37702961
9348,35000000,113374103
3512,60000000,104324083
9804,175000000,264218220
76,2500000,22600000
1909,25000000,68792531
8984,55000000,214015089
8467,16000000,247275374
14275,700000,11830611
628,60000000,223664608
6280,60000000,108431355
11,11000000,775398007
4476,30000000,160638883
28313,17000000,8500000
3036,45000000,112006296
1945,31000000,106683817
6950,50000000,189859560
680,8000000,213928762
161495,22000000,300000
2636,45000000,113000000
2164,55000000,125000000
11395,22000000,45000000
278,25000000,58500000
9905,2500000,17600000
9067,25000000,2500000
193,35000000,120000000
2064,17000000,182100000
236,3000000,57500000
3049,12000000,107217396
9331,62000000,215887717
10731,45000000,25500000
9495,23000000,94000000
888,46000000,358500000
13,55000000,677387716
712,4400000,245700832
10879,45000000,61947267
8587,45000000,987483777
854,18000000,351392727
9359,75000000,183031272
12280,6000000,48424341
2788,11500000,33351557
8987,45000000,47400000
1637,30000000,229200000
8831,27000000,101646581
36955,115000000,378882411
10395,70000000,131002597
12160,63000000,55952000
11667,35000000,105414729
28732,4000000,30000000
8011,26000000,23000000
306,55000000,119204077
6075,30000000,63848322
9350,70000000,255000000
9739,57000000,101000000
37233,42000000,270248367
1634,20000000,76000000
5503,44000000,368875760
41579,30000000,24738164
2019,18000000,74189677
9255,25000000,133752825
11934,30000000,14991000
9386,40000000,187300000
7984,13000000,40700000
329,63000000,1029153882
9593,85000000,137298489
12121,22000000,104900000
2320,55000000,121969216
788,25000000,441286195
11231,12000000,15826984
9559,30000000,104000000
9800,26000000,206678440
7007,35000000,107198790
424,22000000,321306305
8850,25000000,48055248
