,company,movie
0,3,862
1,559,8844
2,2550,8844
3,10201,8844
4,6194,15602
5,19464,15602
6,306,31357
7,5842,11862
8,9195,11862
9,508,949
10,675,949
11,6194,949
12,4,11860
13,258,11860
14,932,11860
15,5842,11860
16,14941,11860
17,55873,11860
18,58079,11860
19,2,45325
20,33,9091
21,21437,9091
22,23770,9091
23,60,710
24,7576,710
25,5,9087
26,97,9087
27,5,12110
28,97,12110
29,6368,12110
30,33,21032
31,56,21032
32,4105,21032
33,915,10858
34,1504,10858
35,183,1408
36,415,1408
37,8411,1408
38,14723,1408
39,33,524
40,10898,524
41,11583,524
42,11584,524
43,441,4584
44,932,4584
45,14,5
46,59,5
47,5682,9273
48,6194,9273
49,10210,9273
50,5,11517
51,216,8012
52,8411,8012
53,508,1710
54,10104,1710
55,1885,9691
56,5358,9691
57,6194,9691
58,10308,9691
59,23397,9691
60,25061,9691
61,175,12665
62,915,12665
63,60,451
64,15547,451
65,5,16420
66,97,16420
67,12,9263
68,288,17015
69,311,902
70,590,902
71,591,902
72,592,902
73,850,902
74,851,902
75,1871,902
76,6639,902
77,7237,902
78,8170,902
79,9335,902
80,12009,902
81,18367,902
82,25020,902
83,25021,902
84,25129,902
85,47532,902
86,68517,902
87,79437,902
88,79438,902
89,79439,902
90,2588,37557
91,4507,37557
92,23647,37557
93,915,9909
94,10103,9909
95,10288,9909
96,33,63
97,507,63
98,17031,63
99,70801,78802
100,33,9598
101,2537,9598
102,694,47018
103,874,47018
104,8363,47018
105,19316,47018
106,30226,47018
107,31080,47018
108,44821,47018
109,406,687
110,1382,687
111,10163,687
112,53390,139405
113,6130,33689
114,6194,33689
115,11661,33689
116,89131,33689
117,4,9603
118,53009,34615
119,85681,34615
120,89840,34615
121,871,31174
122,34237,31174
123,175,11443
124,476,11443
125,915,11443
126,14,35196
127,12,9312
128,4174,9312
129,364,577
130,441,577
131,33,11861
132,56,11861
133,12,807
134,4286,807
135,65394,807
136,2,10530
137,10217,10530
138,2480,8391
139,361,629
140,9168,629
141,14,11448
142,1030,11448
143,2,26441
144,175,26441
145,14,97406
146,7832,97406
147,7320,124057
148,10260,124057
149,4,9089
150,802,9089
151,1382,9089
152,4,11359
153,441,11359
154,862,11359
155,4,17182
156,915,2054
157,916,2054
158,1382,2054
159,10201,2054
160,14,10607
161,3492,10607
162,5441,10607
163,6194,19760
164,10210,19760
165,8411,9536
166,11061,9536
167,36390,9536
168,38003,9536
169,12,11525
170,14,40628
171,82,4482
172,1614,4482
173,3823,4482
174,5358,4482
175,12,10634
176,59,755
177,7405,755
178,11705,755
179,53009,755
180,1885,11859
181,6194,11859
182,5841,28387
183,5842,28387
184,1742,48750
185,5358,48750
186,22123,48750
187,12,20927
188,4286,20927
189,6194,36929
190,10210,36929
191,3388,9102
192,4899,9102
193,7958,9102
194,23096,9102
195,23097,9102
196,23098,9102
197,4606,124626
198,83201,124626
199,93174,124626
200,14,27526
201,441,9623
202,38953,46785
203,38954,46785
204,14,400
205,575,880
206,576,880
207,577,880
208,38196,146599
209,38197,146599
210,2492,8447
211,8888,8447
212,915,10534
213,1644,10534
214,1645,10534
215,306,17414
216,3311,17414
217,4,13997
218,4,2086
219,14,61548
220,4665,61548
221,559,9095
222,18737,9095
223,4,12158
224,14,9283
225,979,9283
226,306,9208
227,456,9208
228,11362,9208
229,97,40154
230,75942,40154
231,802,406
232,1382,406
233,5358,406
234,5869,406
235,16366,406
236,22684,406
237,68517,406
238,68518,406
239,181,45549
240,3324,63076
241,7025,63076
242,12113,63076
243,12911,63076
244,12912,63076
245,12913,63076
246,5,11062
247,97,11062
248,18,13685
249,441,13685
250,9195,47475
251,8411,2045
252,10308,2045
253,10355,2045
254,33,9614
255,1606,9614
256,3929,9614
257,56,688
258,171,688
259,6194,688
260,2,10874
261,2504,10874
262,6254,10874
263,4564,197
264,7965,197
265,11353,197
266,441,103
267,46059,103
268,46060,103
269,12,33542
270,2521,33542
271,175,43566
272,915,43566
273,806,71754
274,2055,71754
275,3498,71754
276,9116,71754
277,12745,71754
278,17027,71754
279,22150,71754
280,38673,71754
281,38674,71754
282,40534,71754
283,85045,71754
284,83,43612
285,591,43612
286,694,43612
287,883,43612
288,885,43612
289,3236,16934
290,559,10324
291,11061,10324
292,11308,78406
293,559,55731
294,4,11066
295,540,11104
296,10932,11104
297,371,37975
298,14,2074
299,264,27793
300,1766,27793
301,1979,27793
302,6194,27793
303,53009,27793
304,22029,44284
305,22618,44284
306,71842,44284
307,8,73067
308,181,73067
309,1898,73067
310,5358,73067
311,4,11863
312,93488,55475
313,93489,55475
314,306,9101
315,68229,123360
316,181,39428
317,38778,39428
318,94477,39428
319,94478,39428
320,1504,9302
321,9195,9302
322,60,11000
323,43,16388
324,5,9737
325,10288,9737
326,6194,30765
327,12,10474
328,3492,10474
329,8,22279
330,5996,22279
331,12745,22279
332,16027,22279
333,181,30157
334,3644,30157
335,3906,30157
336,7248,30157
337,16366,30157
338,37909,30157
339,23,568
340,33,568
341,60,11780
342,8989,11780
343,236,34996
344,1214,34996
345,5353,34996
346,6194,414
347,31080,414
348,386,649
349,387,649
350,11290,649
351,5,1873
352,97,1873
353,14,5894
354,30334,5894
355,1382,1775
356,33,8839
357,56,8839
358,11098,8839
359,33,20649
360,4319,20649
361,4,10329
362,7383,10329
363,915,8963
364,10288,8963
365,4532,26564
366,5,8068
367,11705,8068
368,559,8512
369,2510,8512
370,306,1572
371,1504,1572
372,729,13552
373,1474,13552
374,2765,13552
375,18902,13552
376,9195,259209
377,20740,259209
378,441,6520
379,10158,6520
380,508,9073
381,644,9073
382,5358,9073
383,5739,9073
384,6194,9073
385,60,10428
386,87394,10428
387,12909,17447
388,12910,17447
389,559,9886
390,2480,9886
391,915,9482
392,1504,9482
