n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,bootstrap,criterion,result
10,3,1,2,1,True,gini,0.613577292282
15,3,1,2,1,True,gini,0.640633508566
20,3,1,2,1,True,gini,0.701298758988
10,3,1,3,1,True,gini,0.597423395375
15,3,1,3,1,True,gini,0.67416681134
20,3,1,3,1,True,gini,0.618057003913
10,3,1,5,1,True,gini,0.593098286683
15,3,1,5,1,True,gini,0.604599353084
20,3,1,5,1,True,gini,0.66274258754
10,3,1,10,1,True,gini,0.598283633503
15,3,1,10,1,True,gini,0.703371091289
20,3,1,10,1,True,gini,0.645742127961
10,3,1,2,3,True,gini,0.540396762052
15,3,1,2,3,True,gini,0.600566831367
20,3,1,2,3,True,gini,0.63499256819
10,3,1,3,3,True,gini,0.603522018027
15,3,1,3,3,True,gini,0.677698555565
20,3,1,3,3,True,gini,0.629324534581
10,3,1,5,3,True,gini,0.550347252161
15,3,1,5,3,True,gini,0.640785764043
20,3,1,5,3,True,gini,0.624612189685
10,3,1,10,3,True,gini,0.578877254771
15,3,1,10,3,True,gini,0.629994338915
20,3,1,10,3,True,gini,0.645235283701
10,3,1,2,10,True,gini,0.619489950629
15,3,1,2,10,True,gini,0.641734891668
20,3,1,2,10,True,gini,0.624821391397
10,3,1,3,10,True,gini,0.547613356094
15,3,1,3,10,True,gini,0.669218775224
20,3,1,3,10,True,gini,0.66806692966
10,3,1,5,10,True,gini,0.543792631529
15,3,1,5,10,True,gini,0.628424465011
20,3,1,5,10,True,gini,0.61282453132
10,3,1,10,10,True,gini,0.52217396659
15,3,1,10,10,True,gini,0.665233672885
20,3,1,10,10,True,gini,0.670534107779
10,3,3,2,1,True,gini,0.716669706345
15,3,3,2,1,True,gini,0.730409557031
20,3,3,2,1,True,gini,0.724000495853
10,3,3,3,1,True,gini,0.613677144171
15,3,3,3,1,True,gini,0.670395360858
20,3,3,3,1,True,gini,0.708032852768
10,3,3,5,1,True,gini,0.653371985105
15,3,3,5,1,True,gini,0.670731616652
20,3,3,5,1,True,gini,0.714308387574
10,3,3,10,1,True,gini,0.72812069132
15,3,3,10,1,True,gini,0.693026064537
20,3,3,10,1,True,gini,0.740940982691
