n_neighbors,algorithm,weights,p,metric,result
3,auto,uniform,1,euclidean,0.4
3,auto,distance,1,euclidean,0.35
3,auto,uniform,2,euclidean,0.4
3,auto,distance,2,euclidean,0.35
3,auto,uniform,3,euclidean,0.4
3,auto,distance,3,euclidean,0.35
4,auto,uniform,1,euclidean,0.45
4,auto,distance,1,euclidean,0.3
4,auto,uniform,2,euclidean,0.45
4,auto,distance,2,euclidean,0.3
4,auto,uniform,3,euclidean,0.45
4,auto,distance,3,euclidean,0.3
5,auto,uniform,1,euclidean,0.35
5,auto,distance,1,euclidean,0.3
5,auto,uniform,2,euclidean,0.35
5,auto,distance,2,euclidean,0.3
5,auto,uniform,3,euclidean,0.35
5,auto,distance,3,euclidean,0.3
6,auto,uniform,1,euclidean,0.35
6,auto,distance,1,euclidean,0.35
6,auto,uniform,2,euclidean,0.35
6,auto,distance,2,euclidean,0.35
6,auto,uniform,3,euclidean,0.35
6,auto,distance,3,euclidean,0.35
7,auto,uniform,1,euclidean,0.4
7,auto,distance,1,euclidean,0.35
7,auto,uniform,2,euclidean,0.4
7,auto,distance,2,euclidean,0.35
7,auto,uniform,3,euclidean,0.4
7,auto,distance,3,euclidean,0.35
8,auto,uniform,1,euclidean,0.35
8,auto,distance,1,euclidean,0.3
8,auto,uniform,2,euclidean,0.35
8,auto,distance,2,euclidean,0.3
8,auto,uniform,3,euclidean,0.35
8,auto,distance,3,euclidean,0.3
9,auto,uniform,1,euclidean,0.35
9,auto,distance,1,euclidean,0.3
9,auto,uniform,2,euclidean,0.35
9,auto,distance,2,euclidean,0.3
9,auto,uniform,3,euclidean,0.35
9,auto,distance,3,euclidean,0.3
3,auto,uniform,1,manhattan,0.4
3,auto,distance,1,manhattan,0.5
3,auto,uniform,2,manhattan,0.4
3,auto,distance,2,manhattan,0.5
3,auto,uniform,3,manhattan,0.4
3,auto,distance,3,manhattan,0.5
4,auto,uniform,1,manhattan,0.4
4,auto,distance,1,manhattan,0.3
4,auto,uniform,2,manhattan,0.4
4,auto,distance,2,manhattan,0.3
4,auto,uniform,3,manhattan,0.4
4,auto,distance,3,manhattan,0.3
5,auto,uniform,1,manhattan,0.4
5,auto,distance,1,manhattan,0.35
5,auto,uniform,2,manhattan,0.4
5,auto,distance,2,manhattan,0.35
5,auto,uniform,3,manhattan,0.4
5,auto,distance,3,manhattan,0.35
6,auto,uniform,1,manhattan,0.3
6,auto,distance,1,manhattan,0.4
6,auto,uniform,2,manhattan,0.3
6,auto,distance,2,manhattan,0.4
6,auto,uniform,3,manhattan,0.3
6,auto,distance,3,manhattan,0.4
7,auto,uniform,1,manhattan,0.4
7,auto,distance,1,manhattan,0.3
7,auto,uniform,2,manhattan,0.4
7,auto,distance,2,manhattan,0.3
7,auto,uniform,3,manhattan,0.4
7,auto,distance,3,manhattan,0.3
8,auto,uniform,1,manhattan,0.4
8,auto,distance,1,manhattan,0.3
8,auto,uniform,2,manhattan,0.4
8,auto,distance,2,manhattan,0.3
8,auto,uniform,3,manhattan,0.4
8,auto,distance,3,manhattan,0.3
9,auto,uniform,1,manhattan,0.35
9,auto,distance,1,manhattan,0.35
9,auto,uniform,2,manhattan,0.35
9,auto,distance,2,manhattan,0.35
9,auto,uniform,3,manhattan,0.35
9,auto,distance,3,manhattan,0.35
3,auto,uniform,1,chebyshev,0.35
3,auto,distance,1,chebyshev,0.25
3,auto,uniform,2,chebyshev,0.35
3,auto,distance,2,chebyshev,0.25
3,auto,uniform,3,chebyshev,0.35
3,auto,distance,3,chebyshev,0.25
4,auto,uniform,1,chebyshev,0.3
4,auto,distance,1,chebyshev,0.3
4,auto,uniform,2,chebyshev,0.3
4,auto,distance,2,chebyshev,0.3
4,auto,uniform,3,chebyshev,0.3
4,auto,distance,3,chebyshev,0.3
5,auto,uniform,1,chebyshev,0.35
5,auto,distance,1,chebyshev,0.3
5,auto,uniform,2,chebyshev,0.35
5,auto,distance,2,chebyshev,0.3
5,auto,uniform,3,chebyshev,0.35
5,auto,distance,3,chebyshev,0.3
6,auto,uniform,1,chebyshev,0.4
6,auto,distance,1,chebyshev,0.3
6,auto,uniform,2,chebyshev,0.4
6,auto,distance,2,chebyshev,0.3
6,auto,uniform,3,chebyshev,0.4
6,auto,distance,3,chebyshev,0.3
7,auto,uniform,1,chebyshev,0.35
7,auto,distance,1,chebyshev,0.25
7,auto,uniform,2,chebyshev,0.35
7,auto,distance,2,chebyshev,0.25
7,auto,uniform,3,chebyshev,0.35
7,auto,distance,3,chebyshev,0.25
8,auto,uniform,1,chebyshev,0.35
8,auto,distance,1,chebyshev,0.25
8,auto,uniform,2,chebyshev,0.35
8,auto,distance,2,chebyshev,0.25
8,auto,uniform,3,chebyshev,0.35
8,auto,distance,3,chebyshev,0.25
9,auto,uniform,1,chebyshev,0.35
9,auto,distance,1,chebyshev,0.25
9,auto,uniform,2,chebyshev,0.35
9,auto,distance,2,chebyshev,0.25
9,auto,uniform,3,chebyshev,0.35
9,auto,distance,3,chebyshev,0.25
3,auto,uniform,1,minkowski,0.4
3,auto,distance,1,minkowski,0.5
3,auto,uniform,2,minkowski,0.4
3,auto,distance,2,minkowski,0.35
3,auto,uniform,3,minkowski,0.45
3,auto,distance,3,minkowski,0.35
4,auto,uniform,1,minkowski,0.4
4,auto,distance,1,minkowski,0.3
4,auto,uniform,2,minkowski,0.45
4,auto,distance,2,minkowski,0.3
4,auto,uniform,3,minkowski,0.3
4,auto,distance,3,minkowski,0.3
5,auto,uniform,1,minkowski,0.4
5,auto,distance,1,minkowski,0.35
5,auto,uniform,2,minkowski,0.35
5,auto,distance,2,minkowski,0.3
5,auto,uniform,3,minkowski,0.4
5,auto,distance,3,minkowski,0.35
6,auto,uniform,1,minkowski,0.3
6,auto,distance,1,minkowski,0.4
6,auto,uniform,2,minkowski,0.35
6,auto,distance,2,minkowski,0.35
6,auto,uniform,3,minkowski,0.35
6,auto,distance,3,minkowski,0.25
7,auto,uniform,1,minkowski,0.4
7,auto,distance,1,minkowski,0.3
7,auto,uniform,2,minkowski,0.4
7,auto,distance,2,minkowski,0.35
7,auto,uniform,3,minkowski,0.35
7,auto,distance,3,minkowski,0.2
8,auto,uniform,1,minkowski,0.4
8,auto,distance,1,minkowski,0.3
8,auto,uniform,2,minkowski,0.35
8,auto,distance,2,minkowski,0.3
8,auto,uniform,3,minkowski,0.35
8,auto,distance,3,minkowski,0.25
9,auto,uniform,1,minkowski,0.35
9,auto,distance,1,minkowski,0.35
9,auto,uniform,2,minkowski,0.35
9,auto,distance,2,minkowski,0.3
9,auto,uniform,3,minkowski,0.35
9,auto,distance,3,minkowski,0.3
3,ball_tree,uniform,1,euclidean,0.4
3,ball_tree,distance,1,euclidean,0.35
3,ball_tree,uniform,2,euclidean,0.4
3,ball_tree,distance,2,euclidean,0.35
3,ball_tree,uniform,3,euclidean,0.4
3,ball_tree,distance,3,euclidean,0.35
4,ball_tree,uniform,1,euclidean,0.45
4,ball_tree,distance,1,euclidean,0.3
4,ball_tree,uniform,2,euclidean,0.45
4,ball_tree,distance,2,euclidean,0.3
4,ball_tree,uniform,3,euclidean,0.45
4,ball_tree,distance,3,euclidean,0.3
5,ball_tree,uniform,1,euclidean,0.35
5,ball_tree,distance,1,euclidean,0.3
5,ball_tree,uniform,2,euclidean,0.35
5,ball_tree,distance,2,euclidean,0.3
5,ball_tree,uniform,3,euclidean,0.35
5,ball_tree,distance,3,euclidean,0.3
6,ball_tree,uniform,1,euclidean,0.35
6,ball_tree,distance,1,euclidean,0.35
6,ball_tree,uniform,2,euclidean,0.35
6,ball_tree,distance,2,euclidean,0.35
6,ball_tree,uniform,3,euclidean,0.35
6,ball_tree,distance,3,euclidean,0.35
7,ball_tree,uniform,1,euclidean,0.4
7,ball_tree,distance,1,euclidean,0.35
7,ball_tree,uniform,2,euclidean,0.4
7,ball_tree,distance,2,euclidean,0.35
7,ball_tree,uniform,3,euclidean,0.4
7,ball_tree,distance,3,euclidean,0.35
8,ball_tree,uniform,1,euclidean,0.35
8,ball_tree,distance,1,euclidean,0.3
8,ball_tree,uniform,2,euclidean,0.35
8,ball_tree,distance,2,euclidean,0.3
8,ball_tree,uniform,3,euclidean,0.35
8,ball_tree,distance,3,euclidean,0.3
9,ball_tree,uniform,1,euclidean,0.35
9,ball_tree,distance,1,euclidean,0.3
9,ball_tree,uniform,2,euclidean,0.35
9,ball_tree,distance,2,euclidean,0.3
9,ball_tree,uniform,3,euclidean,0.35
9,ball_tree,distance,3,euclidean,0.3
3,ball_tree,uniform,1,manhattan,0.4
3,ball_tree,distance,1,manhattan,0.5
3,ball_tree,uniform,2,manhattan,0.4
3,ball_tree,distance,2,manhattan,0.5
3,ball_tree,uniform,3,manhattan,0.4
3,ball_tree,distance,3,manhattan,0.5
4,ball_tree,uniform,1,manhattan,0.4
4,ball_tree,distance,1,manhattan,0.3
4,ball_tree,uniform,2,manhattan,0.4
4,ball_tree,distance,2,manhattan,0.3
4,ball_tree,uniform,3,manhattan,0.4
4,ball_tree,distance,3,manhattan,0.3
5,ball_tree,uniform,1,manhattan,0.4
5,ball_tree,distance,1,manhattan,0.35
5,ball_tree,uniform,2,manhattan,0.4
5,ball_tree,distance,2,manhattan,0.35
5,ball_tree,uniform,3,manhattan,0.4
5,ball_tree,distance,3,manhattan,0.35
6,ball_tree,uniform,1,manhattan,0.3
6,ball_tree,distance,1,manhattan,0.4
6,ball_tree,uniform,2,manhattan,0.3
6,ball_tree,distance,2,manhattan,0.4
6,ball_tree,uniform,3,manhattan,0.3
6,ball_tree,distance,3,manhattan,0.4
7,ball_tree,uniform,1,manhattan,0.4
7,ball_tree,distance,1,manhattan,0.3
7,ball_tree,uniform,2,manhattan,0.4
7,ball_tree,distance,2,manhattan,0.3
7,ball_tree,uniform,3,manhattan,0.4
7,ball_tree,distance,3,manhattan,0.3
8,ball_tree,uniform,1,manhattan,0.4
8,ball_tree,distance,1,manhattan,0.3
8,ball_tree,uniform,2,manhattan,0.4
8,ball_tree,distance,2,manhattan,0.3
8,ball_tree,uniform,3,manhattan,0.4
8,ball_tree,distance,3,manhattan,0.3
9,ball_tree,uniform,1,manhattan,0.35
9,ball_tree,distance,1,manhattan,0.35
9,ball_tree,uniform,2,manhattan,0.35
9,ball_tree,distance,2,manhattan,0.35
9,ball_tree,uniform,3,manhattan,0.35
9,ball_tree,distance,3,manhattan,0.35
3,ball_tree,uniform,1,chebyshev,0.35
3,ball_tree,distance,1,chebyshev,0.25
3,ball_tree,uniform,2,chebyshev,0.35
3,ball_tree,distance,2,chebyshev,0.25
3,ball_tree,uniform,3,chebyshev,0.35
3,ball_tree,distance,3,chebyshev,0.25
4,ball_tree,uniform,1,chebyshev,0.3
4,ball_tree,distance,1,chebyshev,0.3
4,ball_tree,uniform,2,chebyshev,0.3
4,ball_tree,distance,2,chebyshev,0.3
4,ball_tree,uniform,3,chebyshev,0.3
4,ball_tree,distance,3,chebyshev,0.3
5,ball_tree,uniform,1,chebyshev,0.35
5,ball_tree,distance,1,chebyshev,0.3
5,ball_tree,uniform,2,chebyshev,0.35
5,ball_tree,distance,2,chebyshev,0.3
5,ball_tree,uniform,3,chebyshev,0.35
5,ball_tree,distance,3,chebyshev,0.3
6,ball_tree,uniform,1,chebyshev,0.4
6,ball_tree,distance,1,chebyshev,0.3
6,ball_tree,uniform,2,chebyshev,0.4
6,ball_tree,distance,2,chebyshev,0.3
6,ball_tree,uniform,3,chebyshev,0.4
6,ball_tree,distance,3,chebyshev,0.3
7,ball_tree,uniform,1,chebyshev,0.35
7,ball_tree,distance,1,chebyshev,0.25
7,ball_tree,uniform,2,chebyshev,0.35
7,ball_tree,distance,2,chebyshev,0.25
7,ball_tree,uniform,3,chebyshev,0.35
7,ball_tree,distance,3,chebyshev,0.25
8,ball_tree,uniform,1,chebyshev,0.35
8,ball_tree,distance,1,chebyshev,0.25
8,ball_tree,uniform,2,chebyshev,0.35
8,ball_tree,distance,2,chebyshev,0.25
8,ball_tree,uniform,3,chebyshev,0.35
8,ball_tree,distance,3,chebyshev,0.25
9,ball_tree,uniform,1,chebyshev,0.35
9,ball_tree,distance,1,chebyshev,0.25
9,ball_tree,uniform,2,chebyshev,0.35
9,ball_tree,distance,2,chebyshev,0.25
9,ball_tree,uniform,3,chebyshev,0.35
9,ball_tree,distance,3,chebyshev,0.25
3,ball_tree,uniform,1,minkowski,0.4
3,ball_tree,distance,1,minkowski,0.5
3,ball_tree,uniform,2,minkowski,0.4
3,ball_tree,distance,2,minkowski,0.35
3,ball_tree,uniform,3,minkowski,0.45
3,ball_tree,distance,3,minkowski,0.35
4,ball_tree,uniform,1,minkowski,0.4
4,ball_tree,distance,1,minkowski,0.3
4,ball_tree,uniform,2,minkowski,0.45
4,ball_tree,distance,2,minkowski,0.3
4,ball_tree,uniform,3,minkowski,0.3
4,ball_tree,distance,3,minkowski,0.3
5,ball_tree,uniform,1,minkowski,0.4
5,ball_tree,distance,1,minkowski,0.35
5,ball_tree,uniform,2,minkowski,0.35
5,ball_tree,distance,2,minkowski,0.3
5,ball_tree,uniform,3,minkowski,0.4
5,ball_tree,distance,3,minkowski,0.35
6,ball_tree,uniform,1,minkowski,0.3
6,ball_tree,distance,1,minkowski,0.4
6,ball_tree,uniform,2,minkowski,0.35
6,ball_tree,distance,2,minkowski,0.35
6,ball_tree,uniform,3,minkowski,0.35
6,ball_tree,distance,3,minkowski,0.25
7,ball_tree,uniform,1,minkowski,0.4
7,ball_tree,distance,1,minkowski,0.3
7,ball_tree,uniform,2,minkowski,0.4
7,ball_tree,distance,2,minkowski,0.35
7,ball_tree,uniform,3,minkowski,0.35
7,ball_tree,distance,3,minkowski,0.2
8,ball_tree,uniform,1,minkowski,0.4
8,ball_tree,distance,1,minkowski,0.3
8,ball_tree,uniform,2,minkowski,0.35
8,ball_tree,distance,2,minkowski,0.3
8,ball_tree,uniform,3,minkowski,0.35
8,ball_tree,distance,3,minkowski,0.25
9,ball_tree,uniform,1,minkowski,0.35
9,ball_tree,distance,1,minkowski,0.35
9,ball_tree,uniform,2,minkowski,0.35
9,ball_tree,distance,2,minkowski,0.3
9,ball_tree,uniform,3,minkowski,0.35
9,ball_tree,distance,3,minkowski,0.3
3,kd_tree,uniform,1,euclidean,0.4
3,kd_tree,distance,1,euclidean,0.35
3,kd_tree,uniform,2,euclidean,0.4
3,kd_tree,distance,2,euclidean,0.35
3,kd_tree,uniform,3,euclidean,0.4
3,kd_tree,distance,3,euclidean,0.35
4,kd_tree,uniform,1,euclidean,0.45
4,kd_tree,distance,1,euclidean,0.3
4,kd_tree,uniform,2,euclidean,0.45
4,kd_tree,distance,2,euclidean,0.3
4,kd_tree,uniform,3,euclidean,0.45
4,kd_tree,distance,3,euclidean,0.3
5,kd_tree,uniform,1,euclidean,0.35
5,kd_tree,distance,1,euclidean,0.3
5,kd_tree,uniform,2,euclidean,0.35
5,kd_tree,distance,2,euclidean,0.3
5,kd_tree,uniform,3,euclidean,0.35
5,kd_tree,distance,3,euclidean,0.3
6,kd_tree,uniform,1,euclidean,0.35
6,kd_tree,distance,1,euclidean,0.35
6,kd_tree,uniform,2,euclidean,0.35
6,kd_tree,distance,2,euclidean,0.35
6,kd_tree,uniform,3,euclidean,0.35
6,kd_tree,distance,3,euclidean,0.35
7,kd_tree,uniform,1,euclidean,0.4
7,kd_tree,distance,1,euclidean,0.35
7,kd_tree,uniform,2,euclidean,0.4
7,kd_tree,distance,2,euclidean,0.35
7,kd_tree,uniform,3,euclidean,0.4
7,kd_tree,distance,3,euclidean,0.35
8,kd_tree,uniform,1,euclidean,0.35
8,kd_tree,distance,1,euclidean,0.3
8,kd_tree,uniform,2,euclidean,0.35
8,kd_tree,distance,2,euclidean,0.3
8,kd_tree,uniform,3,euclidean,0.35
8,kd_tree,distance,3,euclidean,0.3
9,kd_tree,uniform,1,euclidean,0.35
9,kd_tree,distance,1,euclidean,0.3
9,kd_tree,uniform,2,euclidean,0.35
9,kd_tree,distance,2,euclidean,0.3
9,kd_tree,uniform,3,euclidean,0.35
9,kd_tree,distance,3,euclidean,0.3
3,kd_tree,uniform,1,manhattan,0.4
