n_neighbors,algorithm,weights,p,metric,result
3,auto,distance,2,euclidean,0.56752892093
4,auto,distance,2,euclidean,0.574931768134
5,auto,distance,2,euclidean,0.579322135344
6,auto,distance,2,euclidean,0.578916141895
7,auto,distance,2,euclidean,0.579091798222
8,auto,distance,2,euclidean,0.578013321073
9,auto,distance,2,euclidean,0.576232569089
10,auto,distance,2,euclidean,0.574793291997
11,auto,distance,2,euclidean,0.574932567188
12,auto,distance,2,euclidean,0.572605060191
13,auto,distance,2,euclidean,0.568996654295
14,auto,distance,2,euclidean,0.571330145313
3,auto,distance,2,manhattan,0.575656554209
4,auto,distance,2,manhattan,0.573589758143
5,auto,distance,2,manhattan,0.572550565044
6,auto,distance,2,manhattan,0.577309393993
7,auto,distance,2,manhattan,0.57800218299
8,auto,distance,2,manhattan,0.575336040104
9,auto,distance,2,manhattan,0.577893714653
10,auto,distance,2,manhattan,0.576634474034
11,auto,distance,2,manhattan,0.570790562152
12,auto,distance,2,manhattan,0.571326387469
13,auto,distance,2,manhattan,0.572270521512
14,auto,distance,2,manhattan,0.573721811428
3,auto,distance,2,chebyshev,0.567664981988
4,auto,distance,2,chebyshev,0.57763539937
5,auto,distance,2,chebyshev,0.573995936669
6,auto,distance,2,chebyshev,0.578102939271
7,auto,distance,2,chebyshev,0.568789790695
8,auto,distance,2,chebyshev,0.574762048999
9,auto,distance,2,chebyshev,0.567887131841
10,auto,distance,2,chebyshev,0.565540153215
11,auto,distance,2,chebyshev,0.563193147223
12,auto,distance,2,chebyshev,0.566887061858
13,auto,distance,2,chebyshev,0.565003634293
14,auto,distance,2,chebyshev,0.565567512498
