criterion,max_depth,min_samples_split,class_weight,result
gini,1,2,"{'yes': 1, 'no': 1}",0.600101454177
gini,1,3,"{'yes': 1, 'no': 1}",0.600101454177
gini,1,4,"{'yes': 1, 'no': 1}",0.600101454177
gini,1,5,"{'yes': 1, 'no': 1}",0.600101454177
gini,2,2,"{'yes': 1, 'no': 1}",0.606526885357
gini,2,3,"{'yes': 1, 'no': 1}",0.606526885357
gini,2,4,"{'yes': 1, 'no': 1}",0.606526885357
gini,2,5,"{'yes': 1, 'no': 1}",0.606526885357
gini,3,2,"{'yes': 1, 'no': 1}",0.621068650659
gini,3,3,"{'yes': 1, 'no': 1}",0.621068650659
gini,3,4,"{'yes': 1, 'no': 1}",0.621068650659
gini,3,5,"{'yes': 1, 'no': 1}",0.621068650659
gini,4,2,"{'yes': 1, 'no': 1}",0.622421373013
gini,4,3,"{'yes': 1, 'no': 1}",0.622421373013
gini,4,4,"{'yes': 1, 'no': 1}",0.622421373013
gini,4,5,"{'yes': 1, 'no': 1}",0.622590463307
gini,5,2,"{'yes': 1, 'no': 1}",0.631214068312
gini,5,3,"{'yes': 1, 'no': 1}",0.631552248901
gini,5,4,"{'yes': 1, 'no': 1}",0.631383158607
gini,5,5,"{'yes': 1, 'no': 1}",0.631214068312
gini,10,2,"{'yes': 1, 'no': 1}",0.692593845113
gini,10,3,"{'yes': 1, 'no': 1}",0.692593845113
gini,10,4,"{'yes': 1, 'no': 1}",0.691410213054
gini,10,5,"{'yes': 1, 'no': 1}",0.6900574907
gini,50,2,"{'yes': 1, 'no': 1}",0.873520459926
gini,50,3,"{'yes': 1, 'no': 1}",0.867771389922
gini,50,4,"{'yes': 1, 'no': 1}",0.861515049036
gini,50,5,"{'yes': 1, 'no': 1}",0.855089617856
gini,100,2,"{'yes': 1, 'no': 1}",0.87250591816
gini,100,3,"{'yes': 1, 'no': 1}",0.868955021982
gini,100,4,"{'yes': 1, 'no': 1}",0.860500507271
gini,100,5,"{'yes': 1, 'no': 1}",0.854244166385
gini,,2,"{'yes': 1, 'no': 1}",0.87250591816
gini,,3,"{'yes': 1, 'no': 1}",0.870984105512
gini,,4,"{'yes': 1, 'no': 1}",0.861176868448
gini,,5,"{'yes': 1, 'no': 1}",0.857964152858
entropy,1,2,"{'yes': 1, 'no': 1}",0.600101454177
entropy,1,3,"{'yes': 1, 'no': 1}",0.600101454177
entropy,1,4,"{'yes': 1, 'no': 1}",0.600101454177
entropy,1,5,"{'yes': 1, 'no': 1}",0.600101454177
entropy,2,2,"{'yes': 1, 'no': 1}",0.606526885357
entropy,2,3,"{'yes': 1, 'no': 1}",0.606526885357
entropy,2,4,"{'yes': 1, 'no': 1}",0.606526885357
entropy,2,5,"{'yes': 1, 'no': 1}",0.606526885357
entropy,3,2,"{'yes': 1, 'no': 1}",0.620730470071
entropy,3,3,"{'yes': 1, 'no': 1}",0.620730470071
entropy,3,4,"{'yes': 1, 'no': 1}",0.620730470071
entropy,3,5,"{'yes': 1, 'no': 1}",0.620730470071
entropy,4,2,"{'yes': 1, 'no': 1}",0.620223199188
entropy,4,3,"{'yes': 1, 'no': 1}",0.620561379777
entropy,4,4,"{'yes': 1, 'no': 1}",0.620223199188
entropy,4,5,"{'yes': 1, 'no': 1}",0.620561379777
entropy,5,2,"{'yes': 1, 'no': 1}",0.622590463307
entropy,5,3,"{'yes': 1, 'no': 1}",0.622421373013
entropy,5,4,"{'yes': 1, 'no': 1}",0.622421373013
entropy,5,5,"{'yes': 1, 'no': 1}",0.622252282719
entropy,10,2,"{'yes': 1, 'no': 1}",0.677037538045
entropy,10,3,"{'yes': 1, 'no': 1}",0.67720662834
entropy,10,4,"{'yes': 1, 'no': 1}",0.67720662834
entropy,10,5,"{'yes': 1, 'no': 1}",0.676192086574
entropy,50,2,"{'yes': 1, 'no': 1}",0.870815015218
entropy,50,3,"{'yes': 1, 'no': 1}",0.867095028745
entropy,50,4,"{'yes': 1, 'no': 1}",0.863375042273
entropy,50,5,"{'yes': 1, 'no': 1}",0.856104159621
entropy,100,2,"{'yes': 1, 'no': 1}",0.867940480216
entropy,100,3,"{'yes': 1, 'no': 1}",0.867095028745
entropy,100,4,"{'yes': 1, 'no': 1}",0.863036861684
entropy,100,5,"{'yes': 1, 'no': 1}",0.855935069327
entropy,,2,"{'yes': 1, 'no': 1}",0.868616841393
entropy,,3,"{'yes': 1, 'no': 1}",0.866418667568
entropy,,4,"{'yes': 1, 'no': 1}",0.862360500507
entropy,,5,"{'yes': 1, 'no': 1}",0.858133243152
